Y	M	L	ENSO	(m,m0)_(CV)
1996 07 3 0 2.27578
1997 07 3 1 138.769
1998 07 3 1 0.000281525
1999 07 3 1 66.6502
2000 07 3 0 11.5057
2001 07 3 0 0.140217
2002 07 3 1 1.41016
2003 07 3 0 8.41288
2004 07 3 1 50.676
2005 07 3 0 867.287
2006 07 3 0 42.02
2007 07 3 0 4729.06
2008 07 3 0 3.49918
2009 07 3 1 0.135691
2010 07 3 1 235.389
2011 07 3 0 0.00233627
2012 07 3 1 1.28336
2013 07 3 0 90.4351
2014 07 3 0 -2.03703e-05
2015 07 3 1 2.46115
2016 07 3 0 479.823
1983 08 4 0 0.951879
1984 08 4 0 0.00494729
1985 08 4 0 1.51349
1986 08 4 0 0.157035
1987 08 4 1 75.8351
1988 08 4 1 3.19264
1989 08 4 0 0.00408201
1990 08 4 0 3.62536
1991 08 4 1 0.0993059
1992 08 4 0 425.582
1993 08 4 0 28.003
1994 08 4 1 0.294511
1995 08 4 0 0.521534
1996 08 4 0 1.97925
1997 08 4 1 19.9927
1998 08 4 1 11.6585
1999 08 4 1 0.259151
2000 08 4 0 0.00221817
2001 08 4 0 0.911953
2002 08 4 1 1.3266
2003 08 4 0 10.335
2004 08 4 1 343.054
2005 08 4 0 288.674
2006 08 4 0 1.84672
2007 08 4 0 8.15275
2008 08 4 0 65.9394
2009 08 4 1 0.0195517
2010 08 4 1 228.874
2011 08 4 0 0.000730777
2012 08 4 1 0.00202582
2013 08 4 0 0.448079
2014 08 4 0 0.022434
2015 08 4 1 0.0160668
2016 08 4 0 0.0998103
1983 06 0 1 23.1 0.016
1984 06 0 0 0.003 5.87
1985 06 0 0 705.7 1725
1986 06 0 0 878.2 3.41
1987 06 0 1 5404 298.0
1988 06 0 1 3.35 18.6
1989 06 0 0 7.39 29.7
1990 06 0 0 70.0 798.1
1991 06 0 1 28.1 228.5
1992 06 0 1 903.8 1052
1993 06 0 1 136.7 159.7
1994 06 0 1 102.9 85.1
1995 06 0 0 108.9 0.532
1996 06 0 0 3.10 0.0
1997 06 0 1 1329 135.3
1998 06 0 0 0.0 0.0
1999 06 0 1 241.5 161.8
2000 06 0 0 103.4 0.547
2001 06 0 0 6.31 103.3
2002 06 0 1 3.94 133.8
2003 06 0 0 38.8 2.50
2004 06 0 1 327.9 1020
2005 06 0 1 48.5 69.1
2006 06 0 0 0.780 22.6
2007 06 0 0 1402 327.1
2008 06 0 0 3.03 17.1
2009 06 0 1 0.273 6.63
2010 06 0 0 28.1 148.5
2011 06 0 0 0.0 0.0
2012 06 0 0 4.12 271.6
2013 06 0 0 374.2 1.78
2014 06 0 1 2.86 15.6
2015 06 0 1 3273 2621
2016 06 0 0 253.9 94.4
1983 06 1 1 2.55291
1984 06 1 0 213.366
1985 06 1 0 410.857
1986 06 1 0 8.25052
1987 06 1 1 236.147
1988 06 1 1 15.4307
1989 06 1 0 13.5943
1990 06 1 0 42.8369
1991 06 1 1 14.6248
1992 06 1 1 1027.44
1993 06 1 1 169.048
1994 06 1 1 33.0302
1995 06 1 0 0.698591
1996 06 1 0 0.0186864
1997 06 1 1 188.247
1998 06 1 0 0.0170498
1999 06 1 1 45.1865
2000 06 1 0 4.7412
2001 06 1 0 22.8826
2002 06 1 1 62.2528
2003 06 1 0 3.01959
2004 06 1 1 325.373
2005 06 1 1 58.4312
2006 06 1 0 12.35
2007 06 1 0 304.25
2008 06 1 0 7.34161
2009 06 1 1 4.60956
2010 06 1 0 38.7678
2011 06 1 0 0.0286518
2012 06 1 0 6.99366
2013 06 1 0 2.08567
2014 06 1 1 6.75399
2015 06 1 1 3811.72
2016 06 1 0 32.2524
1983 07 2 0 6.96957
1984 07 2 0 0.0381639
1985 07 2 0 16.8127
1986 07 2 0 148.874
1987 07 2 1 1342.53
1988 07 2 1 3.37234
1989 07 2 0 2.6681
1990 07 2 0 28.3411
1991 07 2 1 4.62637
1992 07 2 1 16.2297
1993 07 2 1 10.2475
1994 07 2 0 13.0946
1995 07 2 0 66.194
1996 07 2 0 3.42372
1997 07 2 1 90.8354
1998 07 2 1 0.00565685
1999 07 2 1 307.148
2000 07 2 0 27.2574
2001 07 2 0 1.63574
2002 07 2 1 0.520539
2003 07 2 0 5.28721
2004 07 2 1 16.3674
