Y	M	Lead	P-Y	P-M	Streamflow_CV
2011 04 0 2011 04 3.71976e-11
2012 04 0 2012 04 6.59997
2013 04 0 2013 04 3.71976e-11
2014 04 0 2014 04 0.014
2015 04 0 2015 04 163.3
2016 04 0 2016 04 14.7999
1982 04 1 1982 04 6.56535
1983 04 1 1983 04 0.737395
1984 04 1 1984 04 0.212032
1985 04 1 1985 04 980.619
1986 04 1 1986 04 0.698495
1987 04 1 1987 04 69.8906
1988 04 1 1988 04 19.3963
1989 04 1 1989 04 0.265386
1990 04 1 1990 04 389.84
1991 04 1 1991 04 5.93065
1992 04 1 1992 04 3560.55
1993 04 1 1993 04 278.936
1994 04 1 1994 04 17.0892
1995 04 1 1995 04 7.16401
1996 04 1 1996 04 3.65667e-05
1997 04 1 1997 04 434.624
1998 04 1 1998 04 4.93647
1999 04 1 1999 04 22.4047
2000 04 1 2000 04 6.39804
2001 04 1 2001 04 118.761
2002 04 1 2002 04 5.16071
2003 04 1 2003 04 56.236
2004 04 1 2004 04 367.165
2005 04 1 2005 04 98.6272
2006 04 1 2006 04 0.0211656
2007 04 1 2007 04 1.67471
2008 04 1 2008 04 1.13644
2009 04 1 2009 04 8.06937e-05
2010 04 1 2010 04 5.12714
2011 04 1 2011 04 0.0144822
2012 04 1 2012 04 6.56439
2013 04 1 2013 04 4.42337e-06
2014 04 1 2014 04 0.0077834
2015 04 1 2015 04 53.7034
2016 04 1 2016 04 4.35277
1982 04 2 1982 05 91.7923
1983 04 2 1983 05 12.4292
1984 04 2 1984 05 0.294211
1985 04 2 1985 05 341.748
1986 04 2 1986 05 1.61532
1987 04 2 1987 05 254.035
1988 04 2 1988 05 22.8177
1989 04 2 1989 05 1.97067
1990 04 2 1990 05 136.68
1991 04 2 1991 05 102.636
1992 04 2 1992 05 459.564
1993 04 2 1993 05 85.5374
1994 04 2 1994 05 2.25003
1995 04 2 1995 05 57.1123
1996 04 2 1996 05 0.0827366
1997 04 2 1997 05 207.457
1998 04 2 1998 05 13.6639
1999 04 2 1999 05 96.0302
2000 04 2 2000 05 12.1953
2001 04 2 2001 05 111.821
2002 04 2 2002 05 0.857965
2003 04 2 2003 05 63.9057
2004 04 2 2004 05 556.739
2005 04 2 2005 05 146.783
2006 04 2 2006 05 0.163286
2007 04 2 2007 05 10.641
2008 04 2 2008 05 13.3938
2009 04 2 2009 05 0.00106389
2010 04 2 2010 05 331.378
2011 04 2 2011 05 0.365793
2012 04 2 2012 05 316.643
2013 04 2 2013 05 0.0329463
2014 04 2 2014 05 0.820928
2015 04 2 2015 05 2780.12
2016 04 2 2016 05 480.22
1982 04 3 1982 06 161.324
1983 04 3 1983 06 2.75708
1984 04 3 1984 06 9.47816
1985 04 3 1985 06 3161.03
1986 04 3 1986 06 7.48966
1987 04 3 1987 06 343.489
1988 04 3 1988 06 16.0194
1989 04 3 1989 06 5.42232
1990 04 3 1990 06 76.1438
1991 04 3 1991 06 80.1429
1992 04 3 1992 06 1672.54
1993 04 3 1993 06 1108.48
1994 04 3 1994 06 67.1391
1995 04 3 1995 06 3.06425
1996 04 3 1996 06 0.00714568
1997 04 3 1997 06 108.254
1998 04 3 1998 06 4.83598
