Y	M	Lead	P-Y	P-M	Streamflow_CV
2007 06 1 2007 06 462.419
2008 06 1 2008 06 258.409
2009 06 1 2009 06 89.1358
2010 06 1 2010 06 198.696
1984 06 2 1984 07 0.804469
1985 06 2 1985 07 7.64475
1986 06 2 1986 07 2.99839
1987 06 2 1987 07 27.4728
1988 06 2 1988 07 14.7159
1989 06 2 1989 07 84.9947
1990 06 2 1990 07 430.099
1991 06 2 1991 07 286.345
1992 06 2 1992 07 164.522
1993 06 2 1993 07 78.8579
1994 06 2 1994 07 7.945
1995 06 2 1995 07 66.9603
1996 06 2 1996 07 20.2051
1997 06 2 1997 07 99.5014
1998 06 2 1998 07 27.4927
1999 06 2 1999 07 24.1403
2000 06 2 2000 07 20.4223
2001 06 2 2001 07 15.9328
2002 06 2 2002 07 2.31223
2003 06 2 2003 07 43.6646
2004 06 2 2004 07 28.6245
2005 06 2 2005 07 82.1978
2006 06 2 2006 07 26.7786
2007 06 2 2007 07 50.8306
2008 06 2 2008 07 4.60602
2009 06 2 2009 07 7.11701
2010 06 2 2010 07 39.1707
1984 06 3 1984 08 0.016727
1985 06 3 1985 08 41.9301
1986 06 3 1986 08 31.8634
1987 06 3 1987 08 56.2951
1988 06 3 1988 08 26.4779
1989 06 3 1989 08 5.12362
1990 06 3 1990 08 15.6694
1991 06 3 1991 08 39.33
1992 06 3 1992 08 1.47749
1993 06 3 1993 08 5.31492
1994 06 3 1994 08 7.73862
1995 06 3 1995 08 1.54937
1996 06 3 1996 08 0.790897
1997 06 3 1997 08 58.1664
1998 06 3 1998 08 49.0783
1999 06 3 1999 08 10.2664
2000 06 3 2000 08 61.3598
2001 06 3 2001 08 12.1798
2002 06 3 2002 08 23.4679
2003 06 3 2003 08 9.15291
2004 06 3 2004 08 90.7763
2005 06 3 2005 08 19.7224
2006 06 3 2006 08 15.6488
2007 06 3 2007 08 21.4178
2008 06 3 2008 08 103.989
2009 06 3 2009 08 140.901
2010 06 3 2010 08 436.776
1984 06 4 1984 09 157.236
1985 06 4 1985 09 1.46583
1986 06 4 1986 09 1196.18
1987 06 4 1987 09 2307.62
1988 06 4 1988 09 2.15827
1989 06 4 1989 09 16.0921
1990 06 4 1990 09 68.1001
1991 06 4 1991 09 24.0447
1992 06 4 1992 09 36.5156
1993 06 4 1993 09 22.4979
1994 06 4 1994 09 0.000138334
1995 06 4 1995 09 162.337
1996 06 4 1996 09 54.1431
1997 06 4 1997 09 9.94366
1998 06 4 1998 09 8.59001
1999 06 4 1999 09 564.72
2000 06 4 2000 09 2.54777
2001 06 4 2001 09 74.0919
2002 06 4 2002 09 8.88327
2003 06 4 2003 09 7.9759
2004 06 4 2004 09 63.4065
2005 06 4 2005 09 853.381
2006 06 4 2006 09 27.7753
2007 06 4 2007 09 4.28431
2008 06 4 2008 09 19.0761
2009 06 4 2009 09 27.3673
2010 06 4 2010 09 23.6986
1983 07 0 1983 07 57.8
1984 07 0 1984 07 0.257
1985 07 0 1985 07 236.9
1986 07 0 1986 07 149
1987 07 0 1987 07 282.099
1988 07 0 1988 07 259.799
1989 07 0 1989 07 7.67
1990 07 0 1990 07 52.1002
1991 07 0 1991 07 40.7998
1992 07 0 1992 07 79.6999
1993 07 0 1993 07 3.96
1994 07 0 1994 07 0.0640001
1995 07 0 1995 07 0.623
