Y	M	Lead	P-Y	P-M	Streamflow_CV
2010 05 4 2010 08 0.0653886
1983 06 0 1983 06 104.9
1984 06 0 1984 06 1.1
1985 06 0 1985 06 471.698
1986 06 0 1986 06 496.602
1987 06 0 1987 06 742.899
1988 06 0 1988 06 70.8999
1989 06 0 1989 06 344.299
1990 06 0 1990 06 352.902
1991 06 0 1991 06 2025.01
1992 06 0 1992 06 1898.01
1993 06 0 1993 06 284.399
1994 06 0 1994 06 61.0998
1995 06 0 1995 06 232.5
1996 06 0 1996 06 78
1997 06 0 1997 06 841.301
1998 06 0 1998 06 8.38998
1999 06 0 1999 06 262.899
2000 06 0 2000 06 92.6
2001 06 0 2001 06 20.2
2002 06 0 2002 06 151.799
2003 06 0 2003 06 662.4
2004 06 0 2004 06 109.9
2005 06 0 2005 06 102.2
2006 06 0 2006 06 9.89995
2007 06 0 2007 06 941.599
2008 06 0 2008 06 250.6
2009 06 0 2009 06 169.2
2010 06 0 2010 06 115.5
1984 06 1 1984 06 76.3653
1985 06 1 1985 06 383.33
1986 06 1 1986 06 130.699
1987 06 1 1987 06 733.28
1988 06 1 1988 06 147.763
1989 06 1 1989 06 140.318
1990 06 1 1990 06 172.037
1991 06 1 1991 06 152.793
1992 06 1 1992 06 184.569
1993 06 1 1993 06 275.223
1994 06 1 1994 06 351.777
1995 06 1 1995 06 153.07
1996 06 1 1996 06 43.388
1997 06 1 1997 06 236.852
1998 06 1 1998 06 34.3962
1999 06 1 1999 06 105.436
2000 06 1 2000 06 31.7625
2001 06 1 2001 06 175.914
2002 06 1 2002 06 266.564
2003 06 1 2003 06 51.5081
2004 06 1 2004 06 102.288
2005 06 1 2005 06 79.2963
2006 06 1 2006 06 213.672
2007 06 1 2007 06 1824.27
2008 06 1 2008 06 172.245
2009 06 1 2009 06 40.7168
2010 06 1 2010 06 106.208
1984 06 2 1984 07 0.924162
1985 06 2 1985 07 128.56
1986 06 2 1986 07 87.1655
1987 06 2 1987 07 174.146
1988 06 2 1988 07 12.7285
1989 06 2 1989 07 53.4551
1990 06 2 1990 07 1304.2
1991 06 2 1991 07 1685.56
1992 06 2 1992 07 1133.32
1993 06 2 1993 07 22.4696
1994 06 2 1994 07 5.42716
1995 06 2 1995 07 358.582
1996 06 2 1996 07 13.4746
1997 06 2 1997 07 407.512
1998 06 2 1998 07 0.237651
1999 06 2 1999 07 28.566
2000 06 2 2000 07 6.60033
2001 06 2 2001 07 6.10337
2002 06 2 2002 07 32.3394
2003 06 2 2003 07 226.103
2004 06 2 2004 07 22.2505
2005 06 2 2005 07 21.9902
2006 06 2 2006 07 0.549319
2007 06 2 2007 07 161.982
2008 06 2 2008 07 30.5196
2009 06 2 2009 07 15.1878
2010 06 2 2010 07 16.4211
1984 06 3 1984 08 -9.9956e-05
1985 06 3 1985 08 49.5917
1986 06 3 1986 08 8.71962
1987 06 3 1987 08 43.5384
1988 06 3 1988 08 3.17392
1989 06 3 1989 08 2.17925
1990 06 3 1990 08 1.53335
1991 06 3 1991 08 0.727971
1992 06 3 1992 08 42.2399
1993 06 3 1993 08 3.7569
1994 06 3 1994 08 1.86888
1995 06 3 1995 08 2.17567
1996 06 3 1996 08 0.0603589
1997 06 3 1997 08 2.81793
1998 06 3 1998 08 1.80282
1999 06 3 1999 08 9.04258
2000 06 3 2000 08 14.2819
2001 06 3 2001 08 1.07356
2002 06 3 2002 08 2.85249
2003 06 3 2003 08 0.27216
2004 06 3 2004 08 54.7075
2005 06 3 2005 08 0.914912
2006 06 3 2006 08 5.41832
2007 06 3 2007 08 24805.3
2008 06 3 2008 08 2.75436
2009 06 3 2009 08 2.84329
2010 06 3 2010 08 33.2772
1984 06 4 1984 09 33.8494
1985 06 4 1985 09 30.8132
1986 06 4 1986 09 21.8162
1987 06 4 1987 09 11.0892
1988 06 4 1988 09 7.9735
1989 06 4 1989 09 1.64191
1990 06 4 1990 09 99.7468
1991 06 4 1991 09 299.571
1992 06 4 1992 09 148.561
1993 06 4 1993 09 39.7668
1994 06 4 1994 09 6.35135
1995 06 4 1995 09 130.276
1996 06 4 1996 09 11.0224
1997 06 4 1997 09 79.9705
1998 06 4 1998 09 0.288229
1999 06 4 1999 09 5.17546
2000 06 4 2000 09 0.0717426
2001 06 4 2001 09 0.0188344
2002 06 4 2002 09 16.9377
2003 06 4 2003 09 3.43283
2004 06 4 2004 09 139.317
2005 06 4 2005 09 1026.15
2006 06 4 2006 09 0.00224056
2007 06 4 2007 09 849.255
2008 06 4 2008 09 53.1684
2009 06 4 2009 09 68.9257
2010 06 4 2010 09 14.2424
1983 07 0 1983 07 57.1002
1984 07 0 1984 07 3.71976e-11
1985 07 0 1985 07 85.8996
1986 07 0 1986 07 264.301
1987 07 0 1987 07 167.9
1988 07 0 1988 07 100.8
1989 07 0 1989 07 10.2
1990 07 0 1990 07 27.4001
1991 07 0 1991 07 251.899
1992 07 0 1992 07 522.503
1993 07 0 1993 07 21.9
1994 07 0 1994 07 15
1995 07 0 1995 07 30.9
1996 07 0 1996 07 10
1997 07 0 1997 07 115.5
1998 07 0 1998 07 30.7001
1999 07 0 1999 07 8.20003
2000 07 0 2000 07 153.5
