Y	M	L	ENSO	(m,m0)_(CV)
1987 06 2 1 1532.03
1988 06 2 1 35.7585
1989 06 2 0 14.5113
1990 06 2 0 247.77
1991 06 2 1 91.1993
1992 06 2 1 7544.23
1993 06 2 1 522.442
1994 06 2 1 382.051
1995 06 2 0 3.61544
1996 06 2 0 0.00508562
1997 06 2 1 32.4184
1998 06 2 0 0.391494
1999 06 2 1 10.4375
2000 06 2 0 1.5114
2001 06 2 0 131.631
2002 06 2 1 64.9623
2003 06 2 0 19.4613
2004 06 2 1 68.6877
2005 06 2 1 13.8922
2006 06 2 0 3.69418
2007 06 2 0 66.6094
2008 06 2 0 2.97347
2009 06 2 1 13.8126
2010 06 2 0 74.8107
2011 06 2 0 0.0341074
2012 06 2 0 28.2396
2013 06 2 0 2.5641
2014 06 2 1 11.8327
2015 06 2 1 368.293
2016 06 2 0 9.78886
1982 07 3 1 11.1312
1983 07 3 0 21.27
1984 07 3 0 0.988005
1985 07 3 0 20.8825
1986 07 3 0 436.019
1987 07 3 1 8.36893
1988 07 3 1 5.41253
1989 07 3 0 1.6807
1990 07 3 0 18.4938
1991 07 3 1 6.9744
1992 07 3 1 182.885
1993 07 3 1 101.22
1994 07 3 0 567.624
1995 07 3 0 17.0229
1996 07 3 0 0.691521
1997 07 3 1 513.317
1998 07 3 1 3.60258
1999 07 3 1 41.2858
2000 07 3 0 5.72708
2001 07 3 0 1.14137
2002 07 3 1 12.2126
2003 07 3 0 0.703742
2004 07 3 1 0.716389
2005 07 3 0 0.261706
2006 07 3 0 0.208776
2007 07 3 0 16.9771
2008 07 3 0 0.441483
2009 07 3 1 0.96662
2010 07 3 1 3.87479
2011 07 3 0 0.24252
2012 07 3 1 15.7138
2013 07 3 0 130.044
2014 07 3 0 3.1789
2015 07 3 1 672.031
2016 07 3 0 0.0831243
1982 08 4 1 0.289786
1983 08 4 0 3.6496
1984 08 4 0 0.0244186
1985 08 4 0 8.04521
1986 08 4 0 1.71046
1987 08 4 1 5.40848
1988 08 4 1 1.65063
1989 08 4 0 0.00352969
1990 08 4 0 40.2419
1991 08 4 1 0.371037
1992 08 4 0 8.70484
1993 08 4 0 1.43123
1994 08 4 1 0.378938
1995 08 4 0 2.27121
1996 08 4 0 1.23817
1997 08 4 1 15.9356
1998 08 4 1 0.00107
1999 08 4 1 0.153537
2000 08 4 0 0.00410148
2001 08 4 0 2.31326
2002 08 4 1 11.6062
2003 08 4 0 1.78989
2004 08 4 1 13.8332
2005 08 4 0 8.53389
2006 08 4 0 12.836
2007 08 4 0 130.327
2008 08 4 0 0.246457
2009 08 4 1 0.00443058
2010 08 4 1 17.7402
2011 08 4 0 1.43296
2012 08 4 1 0.101858
2013 08 4 0 2.32649
2014 08 4 0 5.69354
2015 08 4 1 2.92402
2016 08 4 0 2.24544
1982 06 0 1 102.8 1524
1983 06 0 1 23.1 0.016
1984 06 0 0 0.003 5.87
1985 06 0 0 705.7 1725
1986 06 0 0 878.2 3.41
1987 06 0 1 5404 298.0
1988 06 0 1 3.35 18.6
1989 06 0 0 7.39 29.7
1990 06 0 0 70.0 798.1
1991 06 0 1 28.1 228.5
1992 06 0 1 903.8 1052
1993 06 0 1 136.7 159.7
1994 06 0 1 102.9 85.1
1995 06 0 0 108.9 0.532
1996 06 0 0 3.10 0.0
1997 06 0 1 1329 135.3
1998 06 0 0 0.0 0.0
1999 06 0 1 241.5 161.8
2000 06 0 0 103.4 0.547
2001 06 0 0 6.31 103.3
2002 06 0 1 3.94 133.8
2003 06 0 0 38.8 2.50
2004 06 0 1 327.9 1020
2005 06 0 1 48.5 69.1
2006 06 0 0 0.780 22.6
2007 06 0 0 1402 327.1
2008 06 0 0 3.03 17.1
2009 06 0 1 0.273 6.63
2010 06 0 0 28.1 148.5
2011 06 0 0 0.0 0.0
2012 06 0 0 4.12 271.6
2013 06 0 0 374.2 1.78
2014 06 0 1 2.86 15.6
2015 06 0 1 3273 2621
2016 06 0 0 253.9 94.4
1982 06 1 1 551.427
1983 06 1 1 0.828121
1984 06 1 0 14.7817
1985 06 1 0 207.113
1986 06 1 0 16.2771
1987 06 1 1 200.532
1988 06 1 1 32.3778
1989 06 1 0 16.9662
1990 06 1 0 175.938
1991 06 1 1 85.8633
1992 06 1 1 9181.9
1993 06 1 1 654.99
1994 06 1 1 53.1801
1995 06 1 0 1.05891
1996 06 1 0 0.00217605
1997 06 1 1 83.7151
1998 06 1 0 0.14785
1999 06 1 1 1.65505
2000 06 1 0 0.525756
2001 06 1 0 70.2483
2002 06 1 1 138.676
2003 06 1 0 3.06183
2004 06 1 1 473.83
2005 06 1 1 41.1938
2006 06 1 0 11.1184
2007 06 1 0 122.398
2008 06 1 0 4.23399
2009 06 1 1 13.5269
2010 06 1 0 33.6167
2011 06 1 0 0.0482158
2012 06 1 0 55.2379
2013 06 1 0 6.19982
2014 06 1 1 30.7011
2015 06 1 1 206.614
2016 06 1 0 15.1428
1982 07 2 1 16.3333
1983 07 2 0 39.8777
1984 07 2 0 0.279546
1985 07 2 0 12.3704
